id,name,org_type,credit_code,source,desensitize,create_time,update_time
org_7f985c7bb86d,泰州海某汽车服务销售有限公司,company,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_e74ac7bdb115,綦江区某修理厂,company,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_4d2d5c33c202,田林县公安局,government_agency,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_22acea27e2d5,田林县人力资源和社会保障局,government_agency,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_b69ad0101410,重庆市璧山区人民检察院,procuratorate,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_51c392943158,重庆市璧山区人民法院,court,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_89fa76295c18,重庆市璧山区公安局,government_agency,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_c1321148f35b,检察机关,procuratorate,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_e303bfb83e3b,某烟花爆竹专营店,company,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_1f45dc77cb31,绵竹市某燃气有限公司,company,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_1d7f02cadfca,四川省绵竹市人民检察院,procuratorate,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_6123cf875005,彭水县某凡健身服务中心,company,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_729246773307,彭水县某博健身服务中心,company,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_e4895bc27870,江苏省建湖县人民检察院,procuratorate,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_7a4dba1a2fe4,腾某科技公司,company,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_4c5134c7da14,百某网讯科技公司,company,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_c67b95e85b99,国家知识产权局,government_agency,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_476a48ae42cb,大连某汽车销售服务有限公司,company,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_ef5982d19cbd,某集团大连汽车贸易有限公司,company,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_1239e5b35dcf,捷某集团（中国）投资有限公司,company,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_a46de9a06b9a,上海某国际物流有限公司,company,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_f0fb3179c16c,上海市人民检察院第二分院,procuratorate,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_7956f9108f74,长春某泽投资有限公司,company,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_7cc1b8783ebb,德惠市某原种场,company,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_661a230cfe2b,某银行德惠市支行,company,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
org_988d64d6c0e8,某银行吉林省分行,company,,llm_extraction,false,2026-04-21T00:00:00Z,2026-04-21T00:00:00Z
